id,title,body,pred_department,pred_sentiment,department_confidence,sentiment_confidence,uncertainty_score,needs_review_diag,priority,risk_score,true_department,true_sentiment,reviewer_notes
214,Nel complesso promosso - su colazione e ristorante,"Ci siamo fermati solo per un fine settimana. Per bar e lattosio davvero bene, con qualita gestito in modo ordinato. In generale il servizio ha funzionato. Si sono incrociati pure aspetti su camera e aria condizionata, da coordinare internamente.",F&B,pos,0.5773587906439338,0.7374318300438502,0.342604689656108,True,LOW,0.3509856994121297,F&B,pos,
33,Commento rapido - sulla pulizia,"Weekend veloce, recensione scritta a caldo. Per rumore e lenzuola davvero bene, con igiene gestito in modo ordinato. Bilancio finale buono, tornerei. A margine segnalo anche glutine e piatti, non solo l'area principale.",Housekeeping,pos,0.429848632305603,0.9136514662218026,0.3282499507362971,True,LOW,0.2524612139180853,Housekeeping,pos,
151,Feedback sul soggiorno,"Viaggio di lavoro, quindi esperienza abbastanza pratica. La parte prenotazione/navetta non ha funzionato bene, soprattutto su rapidita. Mi aspettavo una gestione migliore. Oltre a questo, ho notato problemi anche su lattosio e porzioni.",Reception,neg,0.5802057932033134,0.8068266238478166,0.3064837914744349,True,HIGH,0.6780273890781567,Reception,pos,
45,Feedback sul soggiorno,"Weekend veloce, recensione scritta a caldo. Ho trovato criticita su rumore e aria condizionata, con gestione igiene poco efficace. Bilancio finale deludente. Per correttezza, va detto che lo staff e stato gentile. Tra l'altro e uscito anche un tema su fattura e pagamento, quindi il caso tocca piu reparti.",Housekeeping,neg,0.6468722026044965,0.7479527150417953,0.3025875411768541,True,HIGH,0.6337679745949827,Housekeeping,neg,
215,Recensione post viaggio,"Viaggio di lavoro, quindi esperienza abbastanza pratica. Ho apprezzato garage e check in; sul fronte rapidita il team e stato efficace. Esperienza positiva e abbastanza lineare. A margine segnalo anche bar e ristorante, non solo l'area principale. Se mantengono questo livello, ci tornerei.",Reception,pos,0.4720336899214421,0.9403926473682658,0.293786831355146,True,LOW,0.2220135024189719,Reception,neg,
176,Commento rapido,"Ci siamo fermati solo per un fine settimana. Ho trovato criticita su fattura e documenti, con gestione organizzazione poco efficace. Bilancio finale deludente. Per correttezza, va detto che lo staff e stato gentile. Oltre a questo, ho notato problemi anche su camera e pulizia.",Reception,neg,0.5774055134571158,0.8584750526631363,0.282059716939874,True,HIGH,0.7034907020485976,Reception,neg,
25,Appunti sul soggiorno,"Soggiorno breve ma intenso. Ho apprezzato navetta e pagamento; sul fronte rapidita il team e stato efficace. Nel complesso mi sono trovato bene. Detto questo, qualche passaggio e stato poco chiaro.",Housekeeping,pos,0.5036651591583238,0.9435271051573844,0.2764038678421459,True,LOW,0.2120397618823901,Reception,neg,
179,Valutazione generale,"Viaggio di lavoro, quindi esperienza abbastanza pratica. Niente da dire su pulizia e materasso, anche igiene in linea. Bilancio finale buono, tornerei. Detto questo, qualche passaggio e stato poco chiaro. A margine segnalo anche colazione e piatti, non solo l'area principale.",Housekeeping,pos,0.4912625503689973,0.9576427464078338,0.2755473516115845,True,LOW,0.2042885006414869,Housekeeping,pos,
175,Feedback sul soggiorno,"Soggiorno breve ma intenso. Su glutine e porzioni ci sono stati problemi, e il lato varieta e da rivedere. Nel complesso esperienza sotto le aspettative. A margine segnalo anche materasso e manutenzione, non solo l'area principale.",F&B,neg,0.6844414389859018,0.7748810930241682,0.270338733994965,True,HIGH,0.6376769792949843,F&B,neg,
185,Appunti sul soggiorno - in ristorazione,"Scrivo il feedback subito dopo il checkout. Su porzioni e bar ci sono stati problemi, e il lato qualita e da rivedere. Nel complesso esperienza sotto le aspettative. Per correttezza, va detto che lo staff e stato gentile. Oltre a questo, ho notato problemi anche su check in e documenti.",F&B,neg,0.6088706816511086,0.8526280763903401,0.2692506209792756,True,HIGH,0.6931325130710974,F&B,neg,
